state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,2560,0,0,0,0,0,0,0,0,0,0,0,1,155,1469,737,0,0,0,0,0,1,8,189,0
Alaska,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Arizona,9386,0,0,0,0,0,0,429,0,0,0,3,0,0,56,438,0,72,820,150,2115,2199,2453,651,0
Arkansas,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,766,259,32,0,0,0,0,0,58,64,0
California,38280,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1992,1383,1858,1203,2005,21983,7851,0
Colorado,21130,0,0,0,0,0,0,0,1,18,0,473,393,0,290,576,583,0,1674,2322,554,1648,9399,3197,2
Connecticut,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
Delaware,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,47,0,0,0
Florida,89641,0,0,0,0,0,0,0,0,0,0,92,0,0,1104,12620,1,1316,2910,7731,8144,15312,26952,13453,6
Georgia,6351,0,0,0,0,0,0,0,0,0,0,2,0,0,3371,113,0,0,35,888,0,0,1008,934,0
Hawaii,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0
Idaho,357,0,0,0,0,0,0,0,0,0,0,0,0,0,120,236,0,0,0,0,0,0,0,1,0
Illinois,16133,0,0,0,0,0,24,1189,0,0,0,2,0,328,558,5051,0,0,0,132,2336,979,4094,1440,0
Indiana,56835,0,0,0,0,0,0,0,0,0,0,0,1,65,194,446,5188,1711,0,1608,5009,7934,22251,12428,0
Iowa,46451,0,0,0,327,129,2649,2436,212,2342,3228,1937,3501,8201,444,1100,307,238,1255,950,1540,3630,8782,3243,0
Kansas,6265,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3350,778,0,1069,1066,0
Kentucky,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,165,250,1,0,0,0,1036,68,0
Louisiana,5477,0,0,0,0,0,0,0,0,0,0,0,0,0,188,166,0,0,278,0,317,302,1987,1634,605
Maine,7176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,147,595,1473,3736,1209,0
Maryland,5973,0,0,0,0,0,0,0,0,0,0,0,810,299,0,1594,2869,0,0,0,0,316,85,0,0
Massachusetts,12825,0,0,0,25,0,0,631,370,1129,1702,1451,2545,2730,1234,0,0,0,128,107,72,127,501,73,0
Michigan,4841,0,0,0,0,0,0,0,0,0,0,0,0,0,178,1471,5,4,1,0,0,317,1283,1582,0
Minnesota,19965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,4969,10820,3663,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,28759,0,0,0,0,0,0,0,0,0,333,0,0,308,59,1520,0,0,920,154,453,4774,13312,6926,0
Montana,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,481,0
Nebraska,9249,0,0,0,0,0,0,0,0,0,0,0,0,275,7,0,257,291,0,0,228,2621,3288,2282,0
Nevada,83140,0,0,0,128,0,0,667,1,8,253,310,0,0,1712,793,431,2607,4414,4993,9539,18659,29927,8698,0
New Hampshire,27258,0,0,0,0,16,140,0,128,105,242,2,0,0,0,632,133,411,2485,1540,2770,6482,9760,2412,0
New Jersey,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
New Mexico,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
New York,18927,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,126,1422,0,0,4187,9361,3824,0
North Carolina,50270,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,774,964,1657,4174,8246,24351,9498,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,64643,0,0,0,0,0,0,238,746,1640,233,380,3,380,1353,3767,869,4456,11884,13576,11407,6096,6554,1061,0
Oklahoma,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,991,217,0,0,0,0,0,0,0,0,0
Oregon,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,0,0,0,0,0,0,0
Pennsylvania,107215,0,0,0,0,0,0,265,928,1480,0,0,0,0,581,1160,4868,2118,8256,6848,12796,20111,31651,16153,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,5538,0,0,0,0,0,0,0,0,187,617,620,291,1078,2745,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,163,0,212,454,294,64,0,0,0,0
Texas,11519,0,0,0,0,0,0,0,0,0,0,4,0,0,1459,112,0,0,0,0,0,1238,6582,2124,0
Utah,2139,0,0,0,0,0,0,0,0,0,0,0,0,0,240,894,0,0,0,0,0,0,243,762,0
Vermont,3366,0,0,0,0,0,0,0,0,98,202,501,286,1122,956,6,0,0,0,0,0,0,103,91,1
Virginia,14172,0,0,0,0,0,0,0,0,0,0,0,0,0,248,12,0,1073,1986,1828,0,159,5792,3074,0
